timestamp,cam,local_uid,master_id,expected,actual,diff,margin,status
081952_961,USB_LOCAL,USB_LOCAL_001,20260127_081946_617,1769669225.854,29992.961,-1769639232.893,1.0,OUT_OF_MARGIN
081954_984,USB_LOCAL,USB_LOCAL_002,20260127_081946_617,1769669225.854,29994.984,-1769639230.87,1.0,OUT_OF_MARGIN
081956_965,USB_LOCAL,USB_LOCAL_003,20260127_081946_617,1769669225.854,29996.965,-1769639228.889,1.0,OUT_OF_MARGIN
081958_989,USB_LOCAL,USB_LOCAL_004,20260127_081946_617,1769669225.854,29998.989,-1769639226.865,1.0,OUT_OF_MARGIN
082000_970,USB_LOCAL,USB_LOCAL_005,20260127_081946_617,1769669225.854,30000.97,-1769639224.884,1.0,OUT_OF_MARGIN
082005_016,USB_LOCAL,USB_LOCAL_006,20260127_081946_617,1769669225.854,30005.016,-1769639220.838,1.0,OUT_OF_MARGIN
082007_040,USB_LOCAL,USB_LOCAL_007,20260127_081946_617,1769669225.854,30007.04,-1769639218.814,1.0,OUT_OF_MARGIN
082009_021,USB_LOCAL,USB_LOCAL_008,20260127_081946_617,1769669225.854,30009.021,-1769639216.833,1.0,OUT_OF_MARGIN
082009_464,RPI_USB1,RPI_USB1_001,N/A,0,0,0,0,EMPTY_QUEUE
082010_269,RPI_USB1,RPI_USB1_002,N/A,0,0,0,0,EMPTY_QUEUE
082012_035,USB_LOCAL,USB_LOCAL_009,20260127_081946_617,1769669225.854,30012.035,-1769639213.819,1.0,OUT_OF_MARGIN
082012_985,USB_LOCAL,USB_LOCAL_010,20260127_081946_617,1769669225.854,30012.985,-1769639212.869,1.0,OUT_OF_MARGIN
082013_489,RPI_USB1,RPI_USB1_003,N/A,0,0,0,0,EMPTY_QUEUE
082015_095,RPI_USB1,RPI_USB1_004,N/A,0,0,0,0,EMPTY_QUEUE
082017_508,RPI_USB1,RPI_USB1_005,N/A,0,0,0,0,EMPTY_QUEUE
082018_023,USB_LOCAL,USB_LOCAL_011,20260127_081946_617,1769669225.854,30018.023,-1769639207.831,1.0,OUT_OF_MARGIN
