timestamp,cam,local_uid,master_id,route,x1,y1,x2,y2,event
081952_961,USB_LOCAL,USB_LOCAL_001,20260127_081946_617,XSEB,267,543,574,900,MATCHED
081954_984,USB_LOCAL,USB_LOCAL_002,20260127_081947_957,XSEB,331,598,538,778,MATCHED
081956_965,USB_LOCAL,USB_LOCAL_003,20260127_081950_754,XSEB,355,605,631,1005,MATCHED
081958_989,USB_LOCAL,USB_LOCAL_004,20260127_081952_696,XSEB,373,638,662,959,MATCHED
082000_970,USB_LOCAL,USB_LOCAL_005,20260127_081954_781,XSEB,396,599,672,961,MATCHED
082005_016,USB_LOCAL,USB_LOCAL_006,20260127_081958_013,XSEB,319,575,618,798,MATCHED
082007_040,USB_LOCAL,USB_LOCAL_007,20260127_082000_568,XSEB,354,664,605,877,MATCHED
082009_021,USB_LOCAL,USB_LOCAL_008,,UNKNOWN,280,656,560,908,UNMATCHED
082009_464,RPI_USB1,RPI_USB1_001,20260127_081946_617,XSEB,259,329,406,520,MATCHED
082010_269,RPI_USB1,RPI_USB1_002,20260127_081947_957,XSEB,264,329,381,455,MATCHED
082012_035,USB_LOCAL,USB_LOCAL_009,20260127_082005_450,XSEB,257,551,481,809,MATCHED
082012_985,USB_LOCAL,USB_LOCAL_010,20260127_082006_895,XSEB,195,566,647,1061,MATCHED
082013_489,RPI_USB1,RPI_USB1_003,20260127_081950_754,XSEB,255,288,362,497,MATCHED
082015_095,RPI_USB1,RPI_USB1_004,20260127_081952_696,XSEB,223,294,356,460,MATCHED
082017_508,RPI_USB1,RPI_USB1_005,20260127_081954_781,XSEB,213,317,347,500,MATCHED
082018_023,USB_LOCAL,USB_LOCAL_011,20260127_082010_739,XSEB,256,494,720,836,MATCHED
082019_054,USB_LOCAL,USB_LOCAL_012,,UNKNOWN,241,542,709,1052,UNMATCHED
082019_229,RPI_USB2,RPI_USB2_001,20260127_081946_617,XSEB,145,87,252,231,MATCHED
082020_323,RPI_USB1,RPI_USB1_006,20260127_081958_013,XSEB,251,301,384,447,MATCHED
082020_437,RPI_USB2,RPI_USB2_002,20260127_081947_957,XSEB,165,140,253,231,MATCHED
082020_836,RPI_USB2,RPI_USB2_002,20260127_081947_957,XSEB,164,107,250,194,TRACKING
082023_020,USB_LOCAL,USB_LOCAL_013,,UNKNOWN,100,593,569,931,UNMATCHED
082023_139,RPI_USB1,RPI_USB1_007,20260127_082000_568,XSEB,248,349,367,471,MATCHED
082023_254,RPI_USB2,RPI_USB2_003,20260127_081950_754,XSEB,180,110,268,269,MATCHED
082023_654,RPI_USB2,RPI_USB2_003,20260127_081950_754,XSEB,179,75,264,230,TRACKING
082025_040,USB_LOCAL,USB_LOCAL_014,,UNKNOWN,325,601,686,787,UNMATCHED
082025_152,RPI_USB1,RPI_USB1_008,,UNKNOWN,281,312,400,443,UNMATCHED
082025_263,RPI_USB2,RPI_USB2_004,20260127_081952_696,XSEB,186,107,281,233,MATCHED
082025_667,RPI_USB2,RPI_USB2_004,20260127_081952_696,XSEB,185,80,277,197,TRACKING
082027_062,USB_LOCAL,USB_LOCAL_015,,UNKNOWN,235,404,668,915,UNMATCHED
082027_274,RPI_USB2,RPI_USB2_005,20260127_081954_781,XSEB,193,94,284,238,MATCHED
082027_678,RPI_USB2,RPI_USB2_005,20260127_081954_781,XSEB,192,63,279,201,TRACKING
082027_968,RPI_USB1,RPI_USB1_009,20260127_082005_450,XSEB,301,318,413,461,MATCHED
082028_591,RPI_USB3,RPI_USB3_001,20260127_081946_617,XSEB,207,345,303,473,MATCHED
082028_991,RPI_USB3,RPI_USB3_001,20260127_081946_617,XSEB,205,365,305,506,TRACKING
